raw,category,term,var1
disrespect*		08	,8,disrespect*,False
disobe*			08,8,disobe*,False
sediti*			08,8,sediti*,False
agitat*			08,8,agitat*,False
insubordinat*		08,8,insubordinat*,False
illegal*		08,8,illegal*,False
lawless*		08,8,lawless*,False
insurgent		08,8,insurgent,False
mutinous		08,8,mutinous,False
defy*			08,8,defy*,False
dissident		08,8,dissident,False
unfaithful		08,8,unfaithful,False
alienate		08,8,alienate,False
defector		08,8,defector,False
heretic*		08 10,08 10,heretic*,False
nonconformist		08,8,nonconformist,False
oppose			08,8,oppose,False
protest			08,8,protest,False
refuse			08,8,refuse,False
denounce		08,8,denounce,False
remonstrate		08,8,remonstrate,False
riot*			08,8,riot*,False
obstruct		08,8,obstruct,False
piety			09 11,09 11,piety,False
pious			09 11,09 11,pious,False
purity			09,9,purity,False
pure*			09,9,pure*,False
clean*			09,9,clean*,False
steril*			09,9,steril*,False
sacred*			09,9,sacred*,False
chast*			09,9,chast*,False
holy			09,9,holy,False
holiness		09	,9,holiness,False
saint*			09,9,saint*,False
wholesome*		09 11	,09 11,wholesome*,False
celiba*			09,9,celiba*,False
abstention		09,9,abstention,False
virgin			09,9,virgin,False
virgins			09,9,virgins,False
virginity		09,9,virginity,False
virginal		09,9,virginal,False
austerity		09,9,austerity,False
integrity		09 11,09 11,integrity,False
modesty			09,9,modesty,False
abstinen*		09,9,abstinen*,False
abstemiousness		09,9,abstemiousness,False
upright			09 11,09 11,upright,False
limpid			09,9,limpid,False
unadulterated		09,9,unadulterated,False
maiden			09,9,maiden,False
virtuous		09,9,virtuous,False
refined			09,9,refined,False
decen*			09 11,09 11,decen*,False
immaculate		09,9,immaculate,False
innocent		09,9,innocent,False
pristine		09,9,pristine,False
church*			09,9,church*,False
disgust*		10	,10,disgust*,False
deprav*			10,10,deprav*,False
disease*		10	,10,disease*,False
unclean*		10	,10,unclean*,False
contagio*		10,10,contagio*,False
indecen*		10 11	,10 11,indecen*,False
sin			10,10,sin,False
sinful*			10 ,10,sinful*,False
sinner*			10,10,sinner*,False
sins			10,10,sins,False
sinned			10,10,sinned,False
sinning			10,10,sinning,False
slut*			10,10,slut*,False
whore			10,10,whore,False
dirt*			10,10,dirt*,False
impiety			10,10,impiety,False
impious			10,10,impious,False
profan*			10,10,profan*,False
gross			10,10,gross,False
repuls*			10,10,repuls*,False
sick*			10,10,sick*,False
promiscu*		10,10,promiscu*,False
lewd*			10,10,lewd*,False
adulter*		10,10,adulter*,False
debauche* 		10,10,debauche* ,False
defile*			10,10,defile*,False
tramp			10,10,tramp,False
prostitut*		10,10,prostitut*,False
unchaste		10,10,unchaste,False
intemperate		10,10,intemperate,False
wanton			10,10,wanton,False
profligate		10,10,profligate,False
filth* 			10,10,filth* ,False
trashy			10,10,trashy,False
obscen*			10,10,obscen*,False
lax			10,10,lax,False
taint*			10,10,taint*,False
stain*			10,10,stain*,False
tarnish*		10,10,tarnish*,False
debase*			10,10,debase*,False
desecrat*		10,10,desecrat*,False
wicked*			10 11,10 11,wicked*,False
blemish			10,10,blemish,False
exploitat*		10,10,exploitat*,False
pervert			10,10,pervert,False
wretched*		10 11,10 11,wretched*,False
righteous*		11,11,righteous*,True
moral*          	11	,11,moral*          ,True
ethic*          	11	,11,ethic*          ,True
value*          	11	,11,value*          ,True
upstanding      	11	,11,upstanding      ,True
good            	11	,11,good            ,True
goodness        	11	,11,goodness        ,True
principle*      	11	,11,principle*      ,True
blameless		11,11,blameless,True
exemplary		11,11,exemplary,True
lesson			11,11,lesson,True
canon			11,11,canon,True
doctrine		11,11,doctrine,True
